id,user,total_class_count,covered_class_count,total_method_count,covered_method_count,total_line_count,covered_line_count,total_branch_count,covered_branch_count,tested_class,test_name,game_mode,created_at
109,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:57:28.468448
110,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:57:35.723784
111,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:57:47.394502
112,70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,1,1,3,3,4,4,0,0,be.thibber.gamification.Person,PersonTest,0,2025-04-17 07:57:48.115258
113,70e85b5e-92d4-498a-9079-ba881f5b3b82,1,1,8,8,15,15,6,6,be.thibber.gamification.vehicle.Vehicle,VehicleTest,1,2025-04-17 07:57:52.339408
114,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:57:54.405854
115,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:58:02.894227
116,223bf16c-aaad-404f-8a47-61f3ced741e4,1,0,7,0,21,0,14,0,be.thibber.gamification.PolyLine,PolyLineTest,0,2025-04-17 07:58:07.233016
117,223bf16c-aaad-404f-8a47-61f3ced741e4,1,1,8,6,14,9,0,0,be.thibber.gamification.Coords,CoordsTest,0,2025-04-17 07:58:31.566819
118,223bf16c-aaad-404f-8a47-61f3ced741e4,1,1,3,3,4,4,0,0,be.thibber.gamification.Person,PersonTest,0,2025-04-17 07:58:42.423238
119,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,6,24,11,12,3,be.thibber.gamification.vehicle.Car,CarTest.testCarSetSeatNegative,0,2025-04-17 07:58:49.945033
120,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:58:52.218500
121,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,7,24,13,12,4,be.thibber.gamification.vehicle.Car,CarTest.addPassenger,0,2025-04-17 07:58:55.265104
122,223bf16c-aaad-404f-8a47-61f3ced741e4,1,0,7,0,21,0,14,0,be.thibber.gamification.PolyLine,PolyLineTest.getPointsTest,0,2025-04-17 07:59:13.091649
123,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:59:27.499434
